,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
0,0,Capital One,76883.0,73000.0,125000.0,76883.0,5885.0,5885.0,3272.0,Data Scientist,CA
1,1,RBC,90000.0,55000.0,135000.0,90000.0,12589.0,11983.0,3147.0,Data Scientist,CA
2,2,Scotiabank,96176.0,74000.0,103000.0,96176.0,10051.0,10051.0,3327.0,Data Scientist,CA
3,3,TD,79473.0,50000.0,129000.0,79473.0,6062.0,6062.0,2393.0,Data Scientist,CA
4,4,Banque Nationale du Canada/National Bank of Canada,74945.0,71000.0,90000.0,74945.0,5045.0,5045.0,1536.0,Data Scientist,CA
5,5,Loblaw Companies,90000.0,12000.0,107000.0,90000.0,9000.0,10008.0,5000.0,Data Scientist,CA
6,6,Shopify,95489.0,85000.0,115000.0,95489.0,,,32840.0,Data Scientist,CA
7,7,Bell Canada,80501.0,66000.0,108000.0,80501.0,11442.0,11442.0,,Data Scientist,CA
8,8,RBC,56160.0,43680.0,62400.0,,,,,Data Scientist Intern,CA
9,9,IBM,85187.0,71000.0,87000.0,85187.0,509.0,509.0,,Data Scientist,CA
10,10,Rogers Communications,91429.0,70000.0,121000.0,91429.0,16989.0,16989.0,18956.0,Data Scientist,CA
11,11,Deloitte,70052.0,61000.0,90000.0,70052.0,6.0,6.0,,Data Scientist,CA
12,12,Boeing,100253.0,74000.0,108000.0,100253.0,3147.0,3147.0,,Data Scientist,CA
13,13,Intact,60320.0,45760.0,68640.0,,,,,Data Scientist Intern,CA
14,14,Stradigi AI,75110.0,70000.0,82000.0,75110.0,,,,Data Scientist,CA
15,15,Scotiabank,63171.0,57000.0,82000.0,,,,,Data Scientist Intern,CA
16,16,HSBC Holdings,62400.0,62400.0,68640.0,,,,,Data Scientist Intern,CA
17,17,Intact,82500.0,76000.0,87000.0,29.0,,,,Data Scientist,CA
18,18,ATB Financial,80872.0,70000.0,115000.0,80872.0,5000.0,5000.0,,Data Scientist,CA
19,19,AeroInfo Systems,81545.0,79000.0,99000.0,81545.0,5981.0,5981.0,,Data Scientist,CA
20,20,CIBC,56160.0,43680.0,62400.0,,,,,Data Scientist Intern,CA
21,21,University of British Columbia,76000.0,41000.0,80000.0,76000.0,,,,Data Scientist,CA
22,22,Shopify,76960.0,64480.0,85280.0,,,,,Data Scientist Intern,CA
23,23,Ericsson-Worldwide,137112.0,67000.0,181000.0,137112.0,25.0,,25.0,Data Scientist,CA
24,24,LoyaltyOne,92921.0,74000.0,97000.0,92921.0,11306.0,11306.0,,Data Scientist,CA
25,25,Aviva Canada,97276.0,69000.0,115000.0,97276.0,16500.0,16500.0,,Data Scientist,CA
26,26,Thomson Reuters,83200.0,72800.0,83200.0,,,,,Data Scientist Intern,CA
27,27,Boston Consulting Group,130000.0,100000.0,130000.0,130000.0,32500.0,32500.0,8000.0,Data Scientist,CA
28,28,Geotab,80235.0,65000.0,95000.0,80235.0,,,,Data Scientist,CA
29,29,Precima,80117.0,80000.0,85000.0,80117.0,4103.0,4103.0,,Data Scientist,CA
30,30,Scotiabank,66560.0,58240.0,74880.0,,,,,Data Scientist Intern,CA
31,31,CIBC,88500.0,83000.0,94000.0,27.0,,,,Data Scientist,CA
32,32,IBM,66560.0,62400.0,70720.0,,,,,Data Scientist Intern,CA
33,33,IBM,54000.0,4000.0,5000.0,,,,,Data Scientist Intern,CA
34,34,TELUS,101500.0,96000.0,107000.0,101500.0,101500.0,15000.0,,Data Scientist,CA
35,35,Deloitte,49920.0,41600.0,58240.0,,,,,Data Scientist Intern,CA
36,36,Deloitte,60000.0,53000.0,67000.0,,,,,Data Scientist Intern,CA
37,37,KPMG,70500.0,67000.0,74000.0,71000.0,71000.0,,,Data Scientist,CA
38,38,Manulife,84500.0,76000.0,93000.0,85000.0,85000.0,13500.0,4000.0,Data Scientist,CA
39,39,Bombardier,41600.0,39520.0,43680.0,,,,,Data Scientist Intern,CA
40,40,Canada Post,97500.0,90000.0,105000.0,96500.0,96500.0,7500.0,,Data Scientist,CA
41,41,Electronic Arts,114500.0,93000.0,136000.0,115000.0,115000.0,13500.0,75500.0,Data Scientist,CA
42,42,Ubisoft,98000.0,72000.0,124000.0,98500.0,98500.0,9500.0,,Data Scientist,CA
43,43,CN,89000.0,63000.0,115000.0,89000.0,89000.0,6500.0,,Data Scientist,CA
44,44,Capital One,62400.0,52000.0,72800.0,,,,,Data Scientist Intern,CA
45,45,Morgan Stanley,147000.0,130000.0,164000.0,,,,,Data Scientist,CA
46,46,Teck Resources,82500.0,77000.0,88000.0,82500.0,82500.0,10000.0,,Data Scientist,CA
47,47,Statistics Canada,43680.0,39520.0,49920.0,,,,,Data Scientist Intern,CA
48,48,Statistics Canada,69500.0,57000.0,82000.0,70000.0,70000.0,,,Data Scientist,CA
49,49,Moneris,43680.0,41600.0,45760.0,,,,,Data Scientist Intern,CA
50,50,Flipp,99500.0,84000.0,115000.0,98500.0,98500.0,10500.0,5000.0,Data Scientist,CA
51,51,Aimia,80000.0,60000.0,100000.0,81500.0,81500.0,14500.0,,Data Scientist,CA
52,52,ecobee,115000.0,98000.0,132000.0,115500.0,115500.0,,,Data Scientist,CA
53,53,IQVIA,91500.0,79000.0,104000.0,91500.0,91500.0,10500.0,,Data Scientist,CA
54,54,Realtor.com,96000.0,89000.0,103000.0,96000.0,96000.0,500.0,,Data Scientist,CA
55,55,Equifax,112500.0,101000.0,124000.0,112500.0,112500.0,10500.0,5500.0,Data Scientist,CA
56,56,Pelmorex Corp,90000.0,86000.0,94000.0,89500.0,89500.0,,,Data Scientist,CA
57,57,Hothead Games,88000.0,50000.0,126000.0,89000.0,89000.0,,,Data Scientist,CA
58,58,Sysomos,54080.0,52000.0,56160.0,,,,,Data Scientist Intern,CA
59,59,Enel X,92500.0,89000.0,96000.0,93000.0,93000.0,,,Data Scientist,CA
60,60,Two Hat Security,69500.0,65000.0,74000.0,68500.0,68500.0,,,Data Scientist,CA
61,61,NuData Security,109000.0,103000.0,115000.0,109000.0,109000.0,10500.0,,Data Scientist,CA
62,62,POWERSHiFTER,52000.0,49920.0,56160.0,,,,,Data Scientist,CA
63,63,Efficiency One,59500.0,57000.0,62000.0,59500.0,59500.0,,,Data Scientist,CA
64,64,Knowtions,92500.0,80000.0,105000.0,92500.0,92500.0,,,Data Scientist,CA
65,65,TD,49920.0,49920.0,52000.0,,,,,Data Scientist Intern,CA
66,66,TD,52000.0,49920.0,54080.0,52000.0,52000.0,,,Data Scientist,CA
67,67,TD,45500.0,44000.0,47000.0,,,,,Data Scientist Intern,CA
68,68,RBC,102000.0,8000.0,9000.0,90000.0,12589.0,11983.0,3147.0,Data Scientist,CA
69,69,RBC,58240.0,56160.0,60320.0,,,,,Data Scientist,CA
70,70,Scotiabank,60000.0,5000.0,5000.0,,,,,Data Scientist Intern,CA
71,71,University of Toronto,70500.0,68000.0,73000.0,69500.0,69500.0,,,Data Scientist,CA
72,72,Walmart,72800.0,70720.0,74880.0,,,,,Data Scientist,CA
73,73,BMO Financial Group,45500.0,44000.0,47000.0,,,,,Data Scientist Intern,CA
75,75,Loblaw Companies,29120.0,29120.0,31200.0,29120.0,29120.0,,,Data Scientist,CA
