,company,position,salary,lower_bound_salary,upper_bound_salary,url
166,Prodigy Education,Data Scientist,$106K - CA$114K,CA$106K,CA$114K,"/Salary/Prodigy-Education-Data-Scientist-Canada-Salaries-EJI_IE1039169.0,17_KO18,32_IL.33,39_IN3.htm"
167,T4G,Data Scientist,$74K - CA$80K,CA$74K,CA$80K,"/Salary/T4G-Data-Scientist-Canada-Salaries-EJI_IE258469.0,3_KO4,18_IL.19,25_IN3.htm"
168,Mastercard,Data Scientist,$103K - CA$113K,CA$103K,CA$113K,"/Salary/Mastercard-Data-Scientist-Canada-Salaries-EJI_IE3677.0,10_KO11,25_IL.26,32_IN3.htm"
169,Kik,Data Scientist - Monthly Intern,$5K - CA$5K,CA$5K,CA$5K,"/Intern-Salary/Kik-Canada-Internship-Salary-EI_IE673773.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist"
170,Farmers Edge,Data Scientist,$59K - CA$63K,CA$59K,CA$63K,"/Salary/Farmers-Edge-Data-Scientist-Canada-Salaries-EJI_IE1143660.0,12_KO13,27_IL.28,34_IN3.htm"
171,Torstar,Data Scientist,$58K - CA$63K,CA$58K,CA$63K,"/Salary/Torstar-Data-Scientist-Canada-Salaries-EJI_IE7146.0,7_KO8,22_IL.23,29_IN3.htm"
172,500px,Data Scientist - Monthly Intern,$5K - CA$5K,CA$5K,CA$5K,"/Intern-Salary/500px-Canada-Internship-Salary-EI_IE600778.0,5_IL.6,12_IN3.htm?filter.jobTitleFTS=Data+Scientist"
173,ruby,Data Scientist,$80K - CA$86K,CA$80K,CA$86K,"/Salary/ruby-Data-Scientist-Canada-Salaries-EJI_IE456062.0,4_KO5,19_IL.20,26_IN3.htm"
174,Xe,Data Scientist - Monthly Intern,$3K - CA$3K,CA$3K,CA$3K,"/Intern-Salary/Xe-Canada-Internship-Salary-EI_IE734881.0,2_IL.3,9_IN3.htm?filter.jobTitleFTS=Data+Scientist"
175,Xe,Data Scientist,$86K - CA$93K,CA$86K,CA$93K,"/Salary/Xe-Data-Scientist-Canada-Salaries-EJI_IE734881.0,2_KO3,17_IL.18,24_IN3.htm"
176,Hotspex,Data Scientist,$68K - CA$73K,CA$68K,CA$73K,"/Salary/Hotspex-Data-Scientist-Canada-Salaries-EJI_IE480164.0,7_KO8,22_IL.23,29_IN3.htm"
177,Adastra Group,Data Scientist,$77K - CA$84K,CA$77K,CA$84K,"/Salary/Adastra-Group-Data-Scientist-Canada-Salaries-EJI_IE673145.0,13_KO14,28_IL.29,35_IN3.htm"
178,Maluuba,Data Scientist,$121K - CA$133K,CA$121K,CA$133K,"/Salary/Maluuba-Data-Scientist-Canada-Salaries-EJI_IE667745.0,7_KO8,22_IL.23,29_IN3.htm"
