,company,position,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus
209,Boréalis (Canada),Data Scientist,$53K - CA$58K,CA$53K,CA$58K,CA$53K - CA$58K,CA$53K - CA$58K,CA$2K - CA$2K,
210,Upsight,Data Scientist - Monthly,$6K - CA$7K,CA$6K,CA$7K,CA$6K - CA$7K,CA$6K - CA$7K,,
211,CRIM (Computer Research Institute of Montreal),Data Scientist - Hourly Intern,$21 - CA$23hourly,CA$21,CA$23,,,,
212,Mistplay,Data Scientist,$68K - CA$75K,CA$68K,CA$75K,CA$69K - CA$75K,CA$69K - CA$75K,,
213,Gestisoft,Data Scientist - Hourly,$22 - CA$24hourly,CA$22,CA$24,CA$22 - CA$24,CA$22 - CA$24,,
214,Quandl,Data Scientist,$71K - CA$77K,CA$71K,CA$77K,CA$70K - CA$77K,CA$70K - CA$77K,,
215,Neelands Refrigeration,Data Scientist - Intern,$53K - CA$58K,CA$53K,CA$58K,,,,
216,Altus Assessments,Data Scientist,$77K - CA$84K,CA$77K,CA$84K,CA$76K - CA$83K,CA$76K - CA$83K,,
217,Wish,Data Scientist - Monthly Intern,$5K - CA$6K,CA$5K,CA$6K,,,,
218,Geosyntec Consultants,Data Scientist - Hourly,$27 - CA$30hourly,CA$27,CA$30,CA$28 - CA$30,CA$28 - CA$30,CA$2K - CA$2K,
219,Cerebri AI,Data Scientist - Monthly,$5K - CA$5K,CA$5K,CA$5K,CA$5K - CA$5K,CA$5K - CA$5K,,
220,Opta Information Intelligence,Data Scientist,$83K - CA$89K,CA$83K,CA$89K,CA$83K - CA$90K,CA$83K - CA$90K,CA$10 - CA$10,
221,Cerebri AI,Data Scientist,$11K - CA$12K,CA$11K,CA$12K,CA$5K - CA$5K,CA$5K - CA$5K,,
